document	label
맥클레인과 그랜트는 특수부대를 이끌고 그 교회를 포위하나, 이미 탈출준비를 해 놓은 스튜어트 일당은 스노우모빌을 이용하여 747 점보기가 준비된 곳으로 빠져나간다. 이번에도 죽을 뻔하다 살아난 맥클레인은 그들이 떨구고 간 총에 공포탄이 들어있는것잼~	1
누구나 예상할수있는 뻔한스토리,,,,,,,	0
세계최고의 스토리텔러들이 모이면 심슨이 탄생한다	1
어제 알았네요. 이 영화. 그래도 아쉽긴하지만 더 좋은 작품을 만드는 힘을 가지길 원해요!!~^^	1
왜이리 어설픔....답답도 하고....	0
초반에는 꽤 흥미로운듯 했는데 정말 벌것 없다. 요즘 기준으로 보면 너무 식상함.	0
사랑한다.	1
왕빛나의 그 무언가를 바랐건만	0
원치않게 3D로 봤다. 화가났다. 그런데 3D로 보지 않아도 화가 났을것이다.	0
진짜 볼거없을때나 킬링타임용으로	0
안나가 너무좋아 ㅠㅠ 레빗의 연기력도 일품.. 살아야 될 이유를 찾은 아담	1
갈비집	0
이래서 절대 배우가 감독하면 안된다는 것이다. 호크가 핵위성무기 묶여 지구를 구하는데 뭔가 가슴지린 것을 전혀 표현하지 못했다, ost가 얼마나 중요한지 여실히 보요준다. 우주 영상미는 당시 시대상황에서 압권이였지만	0
거창하기만 하고 조지호그라는 인물표현에 밀도가 없음.	0
무슨내용이야?	0
유치찬란한 영화	0
정서상으로 안맞는 문화이지만 두 배우의 연기는 Brilliant~	1
정말 재미없는 내용에 지루한 연출에 여배우 몸매외엔 볼게 없는 영화	0
저 이영화 봤는데 엄청 재밌음!그리고 3D라서 더 재미있었음!	1
일본 호러도 예전같지 않네.. 진짜 재미없다 ㅡㅡ;;	0
왜 빵점 주는건 없는거야!!	0
아쉬운 영화네요 .아쉽습니다.	0
왠만하면 참고 보는데 이건 너무한다...	0
호구, 삼돌이, 어떡하니 ㅠㅠ	0
영화를 다 보고나서 나도 모르게 캘리포니아 드림~하면서 노래를 따라 부르고 있다ㅋㅋ 양조위의 에피소드가 더 설렜던 건 누구나 한 번쯤 있었을 법한 교감이었기에 그랬던 것 같다.	1
뭔가 부조화가 느껴진다	0
우리 다같이 2.22를 만들어요	0
어차피 예상했었던 결말!!	0
야밤에 몰입하면 본게 얼마만인지...한 가장으로써 리차드 기어의 역할 완전 몰입!!!초강추	1
맷데이먼의 현실적인 전쟁연기남에 나라 일에 관여하지말자민주주의라는 명목아래	1
잘봤듭니다...잘봤듭니다	1
아 졸 재미없다ㅠㅠㅠㅠ	0
이 영화를 볼때마다..언제나 10년전의 추억을 떠올리게 만든다. 영화내용과는 틀리지만 나의 순수했던 20대초 시절의 사랑과 우정은 아름답게 회상시키는 영화. 앞으로 10년이 더지나 감수성이 더 사라졌을때 다시금 이 영화를 보며 청춘을 회상할것이다.	1
별 반개도 아까워요.3류 저예산. 몰입도도떨어지고 별 내용도 없네요.	0
다시 다 받아서 봅니닷!! 고아라!! 역시 탑	1
하나도 안 죽여주는 이야기	0
감독이 바껴서 인지 정말 재미없게 봤습니다 극장에서 안보고 티비로 이영화를 봐서 다행인듯하네요	0
포뇨같은 친구 있었으면 ㅎㅎ	1
